label,distance_label,object_state,mask_area,target_z,floor_margin,mask_norm,timestamp
bottle,1.5,elevated,4912,1.6656,1.8181,0.975119,1783400708.459
bottle,1.5,elevated,934,3.7468,-0.2631,0.938249,1783400708.466
bottle,1.5,elevated,4914,1.6666,1.8171,0.976678,1783400709.057
bottle,1.5,elevated,930,3.7504,-0.2667,0.936018,1783400709.061
bottle,1.5,elevated,4906,1.6672,1.8165,0.975785,1783400709.66
bottle,1.5,elevated,912,3.7455,-0.2618,0.915503,1783400709.665
bottle,1.5,elevated,4904,1.6545,1.8319,0.960598,1783400710.567
bottle,1.5,elevated,926,3.7753,-0.2889,0.944425,1783400710.572
bottle,1.5,elevated,4914,1.6541,1.8324,0.962032,1783400711.156
bottle,1.5,elevated,921,3.7807,-0.2943,0.942008,1783400711.161
bottle,1.5,elevated,4912,1.6532,1.8333,0.960576,1783400711.761
bottle,1.5,elevated,912,3.777,-0.2905,0.930962,1783400711.766
bottle,1.5,elevated,4912,1.6532,1.8333,0.960576,1783400711.83
bottle,1.5,elevated,912,3.777,-0.2905,0.930962,1783400711.836
bottle,1.5,elevated,4917,1.6528,1.8336,0.961195,1783400712.424
bottle,1.5,elevated,940,3.7726,-0.2862,0.957314,1783400712.429
bottle,1.5,elevated,4922,1.6535,1.8329,0.962964,1783400713.028
bottle,1.5,elevated,926,3.7715,-0.2851,0.942532,1783400713.033
bottle,1.5,elevated,4922,1.6535,1.8329,0.962964,1783400713.08
bottle,1.5,elevated,926,3.7715,-0.2851,0.942532,1783400713.085
bottle,1.5,elevated,4922,1.6535,1.8329,0.962964,1783400713.155
bottle,1.5,elevated,926,3.7715,-0.2851,0.942532,1783400713.161
bottle,1.5,elevated,4917,1.6523,1.8341,0.960556,1783400713.773
bottle,1.5,elevated,929,3.7751,-0.2887,0.94739,1783400713.778
bottle,1.5,elevated,4909,1.6534,1.833,0.960325,1783400714.352
bottle,1.5,elevated,908,3.7805,-0.2941,0.928601,1783400714.357
bottle,1.5,elevated,4913,1.6487,1.8366,0.955576,1783400715.262
bottle,1.5,elevated,941,3.7556,-0.2703,0.9497,1783400715.267
bottle,1.5,elevated,4896,1.6474,1.8379,0.950764,1783400715.864
bottle,1.5,elevated,919,3.7569,-0.2717,0.928167,1783400715.869
bottle,1.5,elevated,4923,1.6488,1.8364,0.957678,1783400716.462
bottle,1.5,elevated,935,3.7554,-0.2701,0.943547,1783400716.467
bottle,1.5,elevated,4923,1.648,1.8372,0.956784,1783400717.057
bottle,1.5,elevated,912,3.7568,-0.2715,0.921026,1783400717.062
bottle,1.5,elevated,4918,1.6476,1.8377,0.955247,1783400717.671
bottle,1.5,elevated,930,3.7555,-0.2702,0.93855,1783400717.675
bottle,1.5,elevated,4931,1.6491,1.8361,0.9596,1783400718.251
bottle,1.5,elevated,924,3.7465,-0.2612,0.928028,1783400718.255
bottle,1.5,elevated,4931,1.6491,1.8361,0.9596,1783400718.323
bottle,1.5,elevated,924,3.7465,-0.2612,0.928028,1783400718.328
bottle,1.5,elevated,4931,1.6491,1.8361,0.9596,1783400718.395
bottle,1.5,elevated,924,3.7465,-0.2612,0.928028,1783400718.402
bottle,1.5,elevated,4931,1.6491,1.8361,0.9596,1783400718.456
bottle,1.5,elevated,924,3.7465,-0.2612,0.928028,1783400718.462
bottle,1.5,elevated,4931,1.6491,1.8361,0.9596,1783400718.528
bottle,1.5,elevated,924,3.7465,-0.2612,0.928028,1783400718.534
bottle,1.5,elevated,4920,1.656,1.8304,0.965403,1783400719.43
bottle,1.5,elevated,940,3.7768,-0.2904,0.959454,1783400719.435
bottle,1.5,elevated,4896,1.6562,1.8302,0.960943,1783400720.034
bottle,1.5,elevated,916,3.776,-0.2896,0.934565,1783400720.039
bottle,1.5,elevated,4896,1.6562,1.8302,0.960943,1783400720.082
bottle,1.5,elevated,916,3.776,-0.2896,0.934565,1783400720.087
bottle,1.5,elevated,4896,1.6562,1.8302,0.960943,1783400720.16
bottle,1.5,elevated,916,3.776,-0.2896,0.934565,1783400720.167
bottle,1.5,elevated,4920,1.6557,1.8307,0.965122,1783400720.761
bottle,1.5,elevated,925,3.7734,-0.287,0.94242,1783400720.765
bottle,1.5,elevated,4939,1.6555,1.8309,0.968572,1783400721.353
bottle,1.5,elevated,906,3.7793,-0.2929,0.925981,1783400721.359
bottle,1.5,elevated,4939,1.6555,1.8309,0.968572,1783400721.421
bottle,1.5,elevated,906,3.7793,-0.2929,0.925981,1783400721.427
bottle,1.5,elevated,4939,1.6555,1.8309,0.968572,1783400721.493
bottle,1.5,elevated,906,3.7793,-0.2929,0.925981,1783400721.499
bottle,1.5,elevated,4939,1.6555,1.8309,0.968572,1783400721.555
bottle,1.5,elevated,906,3.7793,-0.2929,0.925981,1783400721.561
bottle,1.5,elevated,4939,1.6555,1.8309,0.968572,1783400721.629
bottle,1.5,elevated,906,3.7793,-0.2929,0.925981,1783400721.634
bottle,1.5,elevated,4924,1.6556,1.8285,0.965757,1783400722.524
bottle,1.5,elevated,935,3.741,-0.2569,0.936351,1783400722.529
bottle,1.5,elevated,4924,1.6556,1.8285,0.965757,1783400722.59
bottle,1.5,elevated,935,3.741,-0.2569,0.936351,1783400722.596
bottle,1.5,elevated,4924,1.6556,1.8285,0.965757,1783400722.665
bottle,1.5,elevated,935,3.741,-0.2569,0.936351,1783400722.672
bottle,1.5,elevated,4924,1.6556,1.8285,0.965757,1783400722.72
bottle,1.5,elevated,935,3.741,-0.2569,0.936351,1783400722.726
bottle,1.5,elevated,4934,1.6552,1.8289,0.967262,1783400723.342
bottle,1.5,elevated,912,3.7454,-0.2613,0.915484,1783400723.347
bottle,1.5,elevated,4917,1.6519,1.8322,0.960075,1783400723.97
bottle,1.5,elevated,931,3.7396,-0.2555,0.931648,1783400723.976
bottle,1.5,elevated,4934,1.654,1.8301,0.965914,1783400724.556
bottle,1.5,elevated,917,3.7481,-0.264,0.921827,1783400724.561
bottle,1.5,elevated,4925,1.6552,1.8289,0.965535,1783400725.171
bottle,1.5,elevated,933,3.7406,-0.2565,0.934157,1783400725.176
bottle,1.5,elevated,4923,1.654,1.8301,0.963769,1783400725.751
bottle,1.5,elevated,924,3.7371,-0.253,0.923397,1783400725.756
bottle,1.5,elevated,4923,1.654,1.8301,0.963769,1783400725.815
bottle,1.5,elevated,924,3.7371,-0.253,0.923397,1783400725.819
bottle,1.5,elevated,4920,1.6495,1.8374,0.957913,1783400726.737
bottle,1.5,elevated,915,3.7957,-0.3088,0.943329,1783400726.742
bottle,1.5,elevated,4920,1.6495,1.8374,0.957913,1783400726.782
bottle,1.5,elevated,915,3.7957,-0.3088,0.943329,1783400726.787
bottle,1.5,elevated,4920,1.6495,1.8374,0.957913,1783400726.859
bottle,1.5,elevated,915,3.7957,-0.3088,0.943329,1783400726.866
bottle,1.5,elevated,4917,1.6488,1.8381,0.956551,1783400727.459
bottle,1.5,elevated,919,3.7938,-0.3069,0.946472,1783400727.464
bottle,1.5,elevated,4913,1.6488,1.8381,0.955769,1783400728.056
bottle,1.5,elevated,919,3.791,-0.3041,0.94511,1783400728.062
bottle,1.5,elevated,4914,1.6495,1.8374,0.956733,1783400728.659
bottle,1.5,elevated,942,3.7892,-0.3023,0.967822,1783400728.664
bottle,1.5,elevated,4914,1.6495,1.8374,0.956733,1783400728.723
bottle,1.5,elevated,942,3.7892,-0.3023,0.967822,1783400728.729
bottle,1.5,elevated,4914,1.6495,1.8374,0.956733,1783400728.797
bottle,1.5,elevated,942,3.7892,-0.3023,0.967822,1783400728.803
bottle,1.5,elevated,4914,1.6495,1.8374,0.956733,1783400728.851
bottle,1.5,elevated,942,3.7892,-0.3023,0.967822,1783400728.856
bottle,1.5,elevated,4899,1.6485,1.8384,0.952698,1783400729.48
bottle,1.5,elevated,927,3.7955,-0.3086,0.955573,1783400729.485
bottle,1.5,elevated,4894,1.6482,1.8492,0.951309,1783400730.406
bottle,1.5,elevated,929,3.7766,-0.2792,0.94813,1783400730.41
bottle,2.0,elevated,2731,0.96,1.298,0.180112,1783400750.727
bottle,2.0,elevated,2937,0.9634,1.2946,0.195058,1783400751.359
bottle,2.0,elevated,2936,2.0715,1.3521,0.901539,1783400752.312
bottle,2.0,elevated,930,3.6451,-0.2214,0.884181,1783400752.317
bottle,2.0,elevated,2945,2.0764,1.3473,0.908526,1783400752.97
bottle,2.0,elevated,935,3.6489,-0.2253,0.89082,1783400752.975
bottle,2.0,elevated,2954,2.076,1.3477,0.911004,1783400753.568
bottle,2.0,elevated,937,3.6477,-0.2241,0.892147,1783400753.573
bottle,2.0,elevated,2943,2.0754,1.3483,0.907032,1783400754.169
bottle,2.0,elevated,941,3.6511,-0.2274,0.897581,1783400754.173
bottle,2.0,elevated,2940,2.074,1.3496,0.904969,1783400754.755
bottle,2.0,elevated,950,3.6543,-0.2306,0.907763,1783400754.76
bottle,2.0,elevated,2948,2.0709,1.3528,0.904638,1783400755.36
bottle,2.0,elevated,932,3.647,-0.2233,0.887019,1783400755.366
bottle,2.0,elevated,2950,2.0697,1.354,0.904202,1783400755.987
bottle,2.0,elevated,935,3.6492,-0.2255,0.890957,1783400755.992
bottle,2.0,elevated,2949,2.0644,1.3593,0.899292,1783400756.597
bottle,2.0,elevated,936,3.6492,-0.2255,0.891905,1783400756.602
bottle,2.0,elevated,2944,2.0634,1.3602,0.896935,1783400757.186
bottle,2.0,elevated,936,3.6492,-0.2255,0.89189,1783400757.191
bottle,2.0,elevated,2944,2.0634,1.3602,0.896935,1783400757.256
bottle,2.0,elevated,936,3.6492,-0.2255,0.89189,1783400757.262
bottle,2.0,elevated,2955,2.072,1.3581,0.907782,1783400758.182
bottle,2.0,elevated,930,3.6949,-0.2648,0.908514,1783400758.187
bottle,2.0,elevated,2942,2.0644,1.3657,0.89715,1783400758.795
bottle,2.0,elevated,929,3.6947,-0.2646,0.90746,1783400758.8
bottle,2.0,elevated,2943,2.0642,1.3659,0.89734,1783400759.407
bottle,2.0,elevated,932,3.6962,-0.2661,0.911122,1783400759.413
bottle,2.0,elevated,2951,2.0692,1.3609,0.904097,1783400760.079
bottle,2.0,elevated,931,3.6958,-0.2657,0.909928,1783400760.085
bottle,2.0,elevated,2951,2.0648,1.3653,0.900289,1783400760.714
bottle,2.0,elevated,939,3.7006,-0.2705,0.92013,1783400760.719
bottle,2.0,elevated,2945,2.0652,1.3649,0.898814,1783400761.338
bottle,2.0,elevated,934,3.6967,-0.2666,0.913307,1783400761.342
bottle,2.0,elevated,2943,2.0651,1.365,0.898133,1783400761.941
bottle,2.0,elevated,945,3.7006,-0.2705,0.926013,1783400761.946
bottle,2.0,elevated,2948,2.0664,1.3637,0.900726,1783400762.583
bottle,2.0,elevated,941,3.7009,-0.2708,0.922254,1783400762.588
bottle,2.0,elevated,2942,2.0656,1.3645,0.898237,1783400763.203
bottle,2.0,elevated,937,3.6975,-0.2674,0.916666,1783400763.208
bottle,2.0,elevated,2942,2.0644,1.3657,0.897154,1783400763.809
bottle,2.0,elevated,935,3.6967,-0.2665,0.914276,1783400763.814
bottle,2.0,elevated,2945,2.0757,1.3782,0.907914,1783400764.786
bottle,2.0,elevated,929,3.6783,-0.2244,0.899428,1783400764.791
bottle,2.0,elevated,2941,2.0734,1.3805,0.90474,1783400765.416
bottle,2.0,elevated,930,3.6794,-0.2255,0.900939,1783400765.421
bottle,2.0,elevated,2944,2.0742,1.3797,0.906292,1783400766.039
bottle,2.0,elevated,935,3.6872,-0.2333,0.909624,1783400766.044
bottle,2.0,elevated,2948,2.0747,1.3792,0.907962,1783400766.623
bottle,2.0,elevated,932,3.6811,-0.2272,0.903671,1783400766.628
bottle,2.0,elevated,2950,2.0765,1.3774,0.91018,1783400767.226
bottle,2.0,elevated,916,3.6772,-0.2233,0.886302,1783400767.231
bottle,2.0,elevated,2944,2.0729,1.381,0.905197,1783400767.834
bottle,2.0,elevated,922,3.6784,-0.2245,0.892664,1783400767.839
bottle,2.0,elevated,2948,2.0739,1.38,0.90726,1783400768.435
bottle,2.0,elevated,937,3.6818,-0.2279,0.908878,1783400768.44
bottle,2.0,elevated,2943,2.073,1.3809,0.904998,1783400769.035
bottle,2.0,elevated,937,3.6782,-0.2243,0.907105,1783400769.04
bottle,2.0,elevated,2945,2.0749,1.379,0.907214,1783400769.627
bottle,2.0,elevated,935,3.675,-0.2211,0.903583,1783400769.632
bottle,2.0,elevated,2945,2.0749,1.379,0.907214,1783400769.688
bottle,2.0,elevated,935,3.675,-0.2211,0.903583,1783400769.694
bottle,2.0,elevated,2939,2.0638,1.3959,0.895717,1783400770.632
bottle,2.0,elevated,939,3.6493,-0.1896,0.894807,1783400770.637
bottle,2.0,elevated,2941,2.063,1.3967,0.895666,1783400771.232
bottle,2.0,elevated,930,3.6527,-0.193,0.887894,1783400771.237
bottle,2.0,elevated,2941,2.063,1.3967,0.895666,1783400771.289
bottle,2.0,elevated,930,3.6527,-0.193,0.887894,1783400771.294
bottle,2.0,elevated,2949,2.064,1.3957,0.898984,1783400771.908
bottle,2.0,elevated,933,3.6543,-0.1946,0.891538,1783400771.912
bottle,2.0,elevated,2945,2.0632,1.3965,0.89702,1783400772.488
bottle,2.0,elevated,926,3.653,-0.1933,0.88422,1783400772.493
bottle,2.0,elevated,2941,2.0625,1.3972,0.895255,1783400773.103
bottle,2.0,elevated,933,3.6517,-0.192,0.890283,1783400773.108
bottle,2.0,elevated,2943,2.0629,1.3968,0.896191,1783400773.69
bottle,2.0,elevated,921,3.6571,-0.1974,0.881411,1783400773.695
bottle,2.0,elevated,2935,2.0628,1.3969,0.893667,1783400774.306
bottle,2.0,elevated,930,3.6501,-0.1904,0.886612,1783400774.31
bottle,2.0,elevated,2945,2.0649,1.3947,0.898569,1783400774.901
bottle,2.0,elevated,939,3.6511,-0.1914,0.895693,1783400774.906
bottle,2.0,elevated,2944,2.0629,1.3968,0.896504,1783400775.504
bottle,2.0,elevated,929,3.649,-0.1893,0.885147,1783400775.509
bottle,2.0,elevated,2940,2.0547,1.403,0.888139,1783400776.426
bottle,2.0,elevated,928,3.6708,-0.2131,0.894801,1783400776.43
bottle,2.0,elevated,2940,2.0547,1.403,0.888139,1783400776.49
bottle,2.0,elevated,928,3.6708,-0.2131,0.894801,1783400776.496
bottle,2.0,elevated,2944,2.0573,1.4004,0.891594,1783400777.12
bottle,2.0,elevated,930,3.6716,-0.2139,0.897084,1783400777.125
bottle,2.0,elevated,2944,2.0573,1.4004,0.891594,1783400777.19
bottle,2.0,elevated,930,3.6716,-0.2139,0.897084,1783400777.197
bottle,2.0,elevated,2944,2.0573,1.4004,0.891594,1783400777.263
bottle,2.0,elevated,930,3.6716,-0.2139,0.897084,1783400777.269
bottle,2.0,elevated,2944,2.0567,1.401,0.891118,1783400777.876
bottle,2.0,elevated,939,3.6707,-0.213,0.905318,1783400777.881
bottle,2.0,elevated,2942,2.0569,1.4008,0.890687,1783400778.468
bottle,2.0,elevated,937,3.6736,-0.2159,0.904847,1783400778.473
bottle,2.0,elevated,2938,2.0564,1.4013,0.889013,1783400779.076
bottle,2.0,elevated,936,3.6703,-0.2126,0.902253,1783400779.08
bottle,2.0,elevated,2948,2.0562,1.4015,0.891885,1783400779.659
bottle,2.0,elevated,926,3.6708,-0.2131,0.892831,1783400779.664
bottle,2.0,elevated,2943,2.057,1.4007,0.891069,1783400780.276
bottle,2.0,elevated,939,3.6726,-0.2149,0.906299,1783400780.281
bottle,2.0,elevated,2939,2.0488,1.4067,0.882767,1783400781.181
bottle,2.0,elevated,928,3.7015,-0.2461,0.909821,1783400781.186
bottle,2.0,elevated,2944,2.05,1.4054,0.885316,1783400781.816
bottle,2.0,elevated,935,3.6965,-0.241,0.914184,1783400781.821
bottle,2.0,elevated,2939,2.0488,1.4067,0.88273,1783400782.439
bottle,2.0,elevated,942,3.7022,-0.2467,0.923884,1783400782.444
bottle,2.0,elevated,2942,2.0492,1.4062,0.88403,1783400783.027
bottle,2.0,elevated,927,3.7005,-0.245,0.908326,1783400783.032
bottle,2.0,elevated,2939,2.0483,1.4072,0.882302,1783400783.639
bottle,2.0,elevated,931,3.7021,-0.2467,0.91306,1783400783.644
bottle,2.0,elevated,2944,2.0489,1.4066,0.884335,1783400784.225
bottle,2.0,elevated,938,3.7007,-0.2453,0.919234,1783400784.23
bottle,2.0,elevated,2945,2.0496,1.4059,0.885264,1783400784.847
bottle,2.0,elevated,923,3.7029,-0.2474,0.905592,1783400784.851
bottle,2.0,elevated,2941,2.0486,1.4068,0.883229,1783400785.478
bottle,2.0,elevated,929,3.7014,-0.2459,0.91072,1783400785.483
bottle,2.0,elevated,2941,2.0488,1.4067,0.883329,1783400786.064
bottle,2.0,elevated,937,3.705,-0.2496,0.92038,1783400786.069
bottle,2.0,elevated,2943,2.0492,1.4062,0.884342,1783400786.662
bottle,2.0,elevated,930,3.702,-0.2466,0.912037,1783400786.667
bottle,2.0,elevated,2942,2.0485,1.4034,0.883385,1783400787.597
bottle,2.0,elevated,936,3.7154,-0.2635,0.924545,1783400787.602
bottle,2.0,elevated,2944,2.0472,1.4047,0.882895,1783400788.209
