timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:39:05.266,cell phone,0.7225,8.84,17.9,-0.1257,-0.0452,-0.0373,-0.0452,-0.1257,0.1338,-0.0373,0.1338
19:39:05.266,person,0.9438,55.95,58.13,-0.2082,-0.2352,0.3513,-0.2352,-0.2082,0.3461,0.3513,0.3461
19:39:05.610,cell phone,0.6773,8.21,16.86,-0.1164,-0.0431,-0.0343,-0.0431,-0.1164,0.1255,-0.0343,0.1255
19:39:05.610,person,0.9794,60.4,60.32,-0.214,-0.2441,0.39,-0.2441,-0.214,0.3591,0.39,0.3591
19:39:05.611,tie,0.3271,3.9,12.99,-0.1925,-0.1205,-0.1535,-0.1205,-0.1925,0.0094,-0.1535,0.0094
19:39:05.937,person,0.961,57.67,59.19,-0.214,-0.2395,0.3627,-0.2395,-0.214,0.3524,0.3627,0.3524
19:39:05.937,cell phone,0.6355,7.71,15.62,-0.1191,-0.0404,-0.042,-0.0404,-0.1191,0.1157,-0.042,0.1157
19:39:06.274,person,0.978,59.6,59.93,-0.2299,-0.2407,0.3661,-0.2407,-0.2299,0.3586,0.3661,0.3586
19:39:06.274,cell phone,0.6772,8.07,16.5,-0.1304,-0.0403,-0.0497,-0.0403,-0.1304,0.1247,-0.0497,0.1247
19:39:06.275,person,0.3515,14.72,25.95,-0.232,-0.1306,-0.0848,-0.1306,-0.232,0.1289,-0.0848,0.1289
19:39:06.607,person,0.9904,59.13,60.79,-0.2216,-0.2448,0.3697,-0.2448,-0.2216,0.3632,0.3697,0.3632
19:39:06.607,cell phone,0.7207,8.59,17.64,-0.1373,-0.0436,-0.0514,-0.0436,-0.1373,0.1328,-0.0514,0.1328
19:39:06.608,person,0.3485,14.41,25.66,-0.23,-0.1291,-0.0859,-0.1291,-0.23,0.1274,-0.0859,0.1274
19:39:06.945,person,0.9953,59.83,60.99,-0.2257,-0.2449,0.3725,-0.2449,-0.2257,0.365,0.3725,0.365
19:39:06.945,cell phone,0.7174,8.62,17.48,-0.1359,-0.0427,-0.0497,-0.0427,-0.1359,0.1321,-0.0497,0.1321
19:39:06.945,person,0.3469,14.31,25.5,-0.229,-0.1285,-0.0859,-0.1285,-0.229,0.1265,-0.0859,0.1265
19:39:06.946,baseball bat,0.6204,12.22,21.62,0.2297,-0.035,0.3518,-0.035,0.2297,0.1812,0.3518,0.1812
19:39:07.290,person,1.008,60.39,61.77,-0.2265,-0.2481,0.3773,-0.2481,-0.2265,0.3696,0.3773,0.3696
19:39:07.290,cell phone,0.7446,8.8,18.22,-0.138,-0.0443,-0.05,-0.0443,-0.138,0.1379,-0.05,0.1379
19:39:07.291,person,0.358,14.77,26.31,-0.2363,-0.1326,-0.0886,-0.1326,-0.2363,0.1305,-0.0886,0.1305
19:39:07.653,person,1.0104,61.37,61.92,-0.226,-0.2487,0.3876,-0.2487,-0.226,0.3705,0.3876,0.3705
19:39:07.653,cell phone,0.6982,8.47,17.08,-0.1316,-0.043,-0.0469,-0.043,-0.1316,0.1279,-0.0469,0.1279
19:39:07.653,person,0.356,14.76,26.21,-0.235,-0.1319,-0.0874,-0.1319,-0.235,0.1302,-0.0874,0.1302
19:39:07.654,baseball bat,0.6149,12.17,21.3,0.2276,-0.0347,0.3493,-0.0347,0.2276,0.1783,0.3493,0.1783
19:39:07.967,cell phone,0.702,8.59,17.1,-0.1272,-0.0461,-0.0414,-0.0461,-0.1272,0.1249,-0.0414,0.1249
19:39:07.967,person,0.9807,59.15,60.3,-0.2184,-0.2434,0.3732,-0.2434,-0.2184,0.3596,0.3732,0.3596
19:39:07.968,person,0.3616,14.88,26.62,-0.2383,-0.134,-0.0895,-0.134,-0.2383,0.1322,-0.0895,0.1322
19:39:08.305,person,0.9798,56.77,60.45,-0.2253,-0.2452,0.3424,-0.2452,-0.2253,0.3593,0.3424,0.3593
19:39:08.305,cell phone,0.719,8.87,17.3,-0.134,-0.048,-0.0453,-0.048,-0.134,0.125,-0.0453,0.125
19:39:08.305,person,0.3539,14.82,26.05,-0.2332,-0.1311,-0.085,-0.1311,-0.2332,0.1294,-0.085,0.1294
19:39:08.638,person,0.9966,58.05,61.38,-0.2302,-0.2494,0.3503,-0.2494,-0.2302,0.3644,0.3503,0.3644
19:39:08.638,cell phone,0.6523,7.71,15.83,-0.1216,-0.0422,-0.0445,-0.0422,-0.1216,0.1161,-0.0445,0.1161
19:39:08.639,person,0.3746,15.76,27.58,-0.2469,-0.1388,-0.0892,-0.1388,-0.2469,0.137,-0.0892,0.137
19:39:08.974,cell phone,0.6153,7.59,15.18,-0.1204,-0.0436,-0.0445,-0.0436,-0.1204,0.1082,-0.0445,0.1082
19:39:08.974,person,0.9847,60.83,63.41,-0.2376,-0.274,0.3706,-0.274,-0.2376,0.3601,0.3706,0.3601
19:39:09.303,person,0.929,61.62,67.62,-0.2377,-0.3365,0.3786,-0.3365,-0.2377,0.3397,0.3786,0.3397
19:39:09.303,cell phone,0.5956,8.33,16.98,-0.1252,-0.0576,-0.0419,-0.0576,-0.1252,0.1122,-0.0419,0.1122
19:39:09.304,person,0.4851,20.16,35.61,-0.3066,-0.1797,-0.105,-0.1797,-0.3066,0.1764,-0.105,0.1764
19:39:09.638,person,0.8994,64.79,65.93,-0.2609,-0.3314,0.387,-0.3314,-0.2609,0.328,0.387,0.328
19:39:09.638,cell phone,0.5961,9.89,19.35,-0.1346,-0.054,-0.0357,-0.054,-0.1346,0.1395,-0.0357,0.1395
19:39:09.972,person,0.8443,62.48,62.16,-0.2615,-0.3128,0.3633,-0.3128,-0.2615,0.3087,0.3633,0.3087
19:39:09.973,cell phone,0.5495,10.65,19.6,-0.1417,-0.0384,-0.0352,-0.0384,-0.1417,0.1576,-0.0352,0.1576
19:39:10.304,cell phone,0.5628,11.26,20.95,-0.1498,-0.0405,-0.0372,-0.0405,-0.1498,0.169,-0.0372,0.169
19:39:10.305,person,0.8284,62.85,61.07,-0.2686,-0.3078,0.3599,-0.3078,-0.2686,0.3029,0.3599,0.3029
19:39:10.305,baseball bat,0.6411,12.36,21.74,0.2406,-0.0348,0.3642,-0.0348,0.2406,0.1826,0.3642,0.1826
19:39:10.638,cell phone,0.5379,10.7,20.08,-0.1477,-0.0404,-0.0406,-0.0404,-0.1477,0.1604,-0.0406,0.1604
19:39:10.638,person,0.8229,62.69,60.58,-0.2668,-0.3066,0.3601,-0.3066,-0.2668,0.2992,0.3601,0.2992
