label,distance_label,object_state,target_z,footing_floor,floor_margin
book,2.0,elevated,2.22,1.9123,-0.3077
book,2.0,elevated,2.2193,1.8962,-0.3231
book,2.0,elevated,2.2044,1.8755,-0.3289
book,2.0,elevated,2.2044,1.8755,-0.3289
book,2.0,elevated,2.2054,1.8755,-0.3299
book,2.0,elevated,2.2054,1.8755,-0.3299
book,2.0,elevated,2.2054,1.8755,-0.3299
book,2.0,elevated,2.2054,1.8755,-0.3299
book,2.0,elevated,2.2044,1.8755,-0.3289
book,2.0,elevated,2.2044,1.8755,-0.3289
book,2.0,elevated,2.2044,1.8755,-0.3289
book,2.0,elevated,2.2054,1.8755,-0.3299
book,2.0,elevated,2.211,1.9023,-0.3088
book,2.0,elevated,2.211,1.9023,-0.3088
book,2.0,elevated,2.2103,1.8862,-0.324
